City,Country,Date,Lat,Lng,Max Temperature,Humidity,Cloudiness,Wind Speed
Lata,PT,1605322800,40.1629,-8.3327,55.44,88,90,4.34
Coolum Beach,AU,1605322800,-26.5333,153.1,86.85,48,2,12.28
Yerbogachën,RU,1605322800,61.2767,108.0108,12.18,93,100,12.15
Kumul,CN,1605322800,42.8,93.45,43.99,65,74,4.41
Trelew,AR,1605322800,-43.249,-65.3051,68.38,32,78,11.3
Itiruçu,BR,1605322800,-13.5317,-40.1503,66.36,95,73,7.61
Cividale del Friuli,IT,1605322800,46.0931,13.4275,47.7,89,88,2.66
Port Macquarie,AU,1605322800,-31.4333,152.9167,81.03,55,14,11.77
Maputo,MZ,1605322800,-25.9653,32.5892,66.22,76,0,8.41
‘Āhuimanu,US,1605322800,21.4447,-157.8378,79.16,69,22,19.08
Baní,DO,1605322800,18.2833,-70.3333,76.15,84,83,11.32
Clearwater,US,1605322800,27.9659,-82.8001,75.13,82,12,12.84
Meulaboh,ID,1605322800,4.1363,96.1285,79.48,86,100,3.87
Naugachhia,IN,1605322800,25.4,87.1,75.51,45,0,4.34
Andenes,NO,1605322800,69.3143,16.1194,43.45,75,47,17.07
Coahuayana Viejo,MX,1605322800,18.7333,-103.6833,75.97,81,47,1.92
Esperance,AU,1605322800,-33.8667,121.9,68.38,73,82,12.84
Altamira,BR,1605322800,-3.2033,-52.2064,75.78,91,72,2.46
Rocha,UY,1605322800,-34.4833,-54.3333,61.34,97,52,1.66
Camacha,PT,1605322800,33.0833,-16.3333,68.61,91,61,22.21
Shelburne,CA,1605322800,44.0787,-80.2041,33.51,86,69,12.5
Bella Union,UY,1605322800,-30.2752,-57.6007,69.13,65,0,10.25
Taltal,CL,1605322800,-25.4,-70.4833,57.67,75,15,3.02
Rawson,AR,1605322800,-43.3002,-65.1023,65.68,40,55,8.7
Doha,QA,1605322800,25.2867,51.5333,76.35,80,20,12.77
Mahajanga,MG,1605322800,-15.7167,46.3167,78.69,75,11,2.59
Morant Bay,JM,1605322800,17.8815,-76.4093,79.45,85,69,11.39
Port Shepstone,ZA,1605322800,-30.7414,30.455,68.36,88,27,16.44
Rio Claro,BR,1605322800,-22.4114,-47.5614,69.22,93,21,0.81
Port Augusta,AU,1605322800,-32.5,137.7667,90.63,31,0,10.94
Cortez,US,1605322800,37.3489,-108.5859,38.84,55,11,6.33
Diego de Almagro,CL,1605322800,-26.3667,-70.05,53.94,52,0,1.61
Sovetskiy,RU,1605322800,61.3614,63.5842,11.28,90,43,6.76
Faanui,PF,1605322800,-16.4833,-151.75,80.13,73,7,5.91
Bahía Honda,CU,1605322800,22.9036,-83.1592,77.63,88,12,8.84
Nkowakowa,ZA,1605322800,-23.8878,30.2871,62.87,47,29,1.63
Tarumã,BR,1605322800,-22.7467,-50.5772,76.55,52,19,1.79
Bassano,CA,1605322800,50.7834,-112.4685,31.24,92,100,10.22
Vestmannaeyjar,IS,1605322800,63.4427,-20.2734,38.28,78,1,21.85
Coyah,GN,1605322800,9.75,-13.4167,72.59,65,5,3.51
Paraíso,CR,1605322800,9.8383,-83.8656,66.06,93,53,1.68
Wanning,CN,1605322800,18.8003,110.3967,74.43,89,100,22.62
Umeå,SE,1605322800,63.8284,20.2597,42.75,90,87,14.23
Padang,ID,1605322800,-0.9492,100.3543,86.88,68,73,2.64
Tautira,PF,1605322800,-17.7333,-149.15,82.11,76,25,11.74
Lipari,IT,1605322800,38.4674,14.954,65.79,72,0,5.21
Sirte,LY,1605322800,31.2089,16.5887,67.41,71,25,3.98
Kalach-na-Donu,RU,1605322800,48.691,43.5264,29.77,94,25,4.12
Fare,PF,1605322800,-16.7,-151.0167,80.8,73,0,6.46
Umm Kaddadah,SD,1605322800,13.6017,26.6876,68.77,24,0,17.02
Uribia,CO,1605322800,11.7139,-72.266,78.58,84,87,7.27
Kérouané,GN,1605322800,9.2667,-9.0167,66.79,45,0,2.19
Amuntai,ID,1605322800,-2.4177,115.2494,87.3,74,26,2.44
Lucapa,AO,1605322800,-8.4192,20.7447,65.62,100,100,3.02
San Andrés,CO,1605322800,12.5847,-81.7006,83.48,80,57,19.06
Ballina,AU,1605322800,-28.8667,153.5667,85.75,50,6,10.31
Sitka,US,1605322800,57.0531,-135.33,37.0,83,87,6.04
Kirakira,SB,1605322800,-10.4544,161.9205,85.84,67,46,3.74
Longyearbyen,SJ,1605322800,78.2186,15.6401,29.55,83,87,7.29
Constitución,CL,1605322800,-35.3333,-72.4167,53.42,88,15,7.96
Chapais,CA,1605322800,49.7834,-74.8492,31.15,96,87,2.59
Nyurba,RU,1605322800,63.2842,118.3319,12.83,95,99,4.68
Mount Gambier,AU,1605322800,-37.8333,140.7667,61.18,62,95,5.37
Lázaro Cárdenas,MX,1605322800,17.9583,-102.2,78.67,81,7,3.85
Chui,UY,1605322800,-33.6971,-53.4616,62.65,96,14,3.22
Hambantota,LK,1605322800,6.1241,81.1185,81.3,88,59,5.46
Dalvik,IS,1605322800,65.9702,-18.5286,34.74,90,94,7.38
Karksi-Nuia,EE,1605322800,58.1033,25.5628,36.21,88,100,6.08
San Luis de la Paz,MX,1605322800,21.3,-100.5167,64.29,59,0,5.77
Dhāna,IN,1605322800,23.75,78.85,73.22,76,4,7.43
Dingle,PH,1605322800,10.9995,122.6711,86.05,80,16,11.74
Dayong,CN,1605322800,25.0209,118.2898,74.71,59,74,10.74
Sola,VU,1605322800,-13.8833,167.55,84.74,81,86,11.95
Beira,MZ,1605322800,-19.8436,34.8389,71.76,72,18,0.98
Te Anau,NZ,1605322800,-45.4167,167.7167,61.27,59,100,10.04
Ijūin,JP,1605322800,31.6167,130.4,68.92,59,10,6.13
Diamantino,BR,1605322800,-14.4086,-56.4461,75.76,80,15,3.49
Egvekinot,RU,1605322800,66.3167,-179.1667,6.55,91,9,14.7
Robertsport,LR,1605322800,6.7533,-11.3686,78.94,85,0,1.3
Zhigansk,RU,1605322800,66.7697,123.3711,9.1,95,86,4.0
Yar-Sale,RU,1605322800,66.8333,70.8333,-4.4,91,0,4.34
Gamba,GA,1605322800,-2.65,10.0,75.02,92,99,2.91
Deputatsky,RU,1605322800,69.3,139.9,-13.31,88,0,1.45
Northam,GB,1605322800,51.0333,-4.2167,51.62,91,100,12.84
Plettenberg Bay,ZA,1605322800,-34.0527,23.3716,63.36,64,13,8.16
Guerrero Negro,MX,1605322800,27.9769,-114.0611,65.1,70,0,12.64
Caxias,PT,1605322800,38.7031,-9.2767,62.8,94,87,9.31
Leh,IN,1605322800,34.1667,77.5833,32.74,64,55,3.65
Billings Metropolitan Area,US,1605322800,45.7833,-108.5007,36.59,67,87,4.36
Mehamn,NO,1605322800,71.0357,27.8492,35.19,85,1,11.12
Seymchan,RU,1605322800,62.8833,152.4333,-10.66,88,98,0.89
Arak,IR,1605322800,34.0917,49.6892,37.42,85,24,1.25
Toppenish,US,1605322800,46.3774,-120.3087,43.97,59,1,17.0
Sarangani,PH,1605322800,5.4033,125.4636,84.4,72,55,18.79
Alice Springs,AU,1605322800,-23.7,133.8833,103.32,11,0,9.46
Belmonte,BR,1605322800,-15.8631,-38.8828,76.21,82,20,11.23
Veydelevka,RU,1605322800,50.1521,38.4492,30.97,93,93,2.77
Nanortalik,GL,1605322800,60.1432,-45.2371,28.92,87,100,8.01
Outlook,CA,1605322800,51.5001,-107.0513,26.37,87,94,8.14
Mahon,ES,1605322800,39.8885,4.2658,66.24,86,64,9.4
Anadyr,RU,1605322800,64.75,177.4833,7.97,85,49,14.29
Freeport,US,1605322800,40.6576,-73.5832,52.12,72,1,13.65
Japura,ID,1605322800,-0.3167,102.35,88.36,78,96,1.19
